,fonte (v),Corrente (microA),Tensão (v),Menor dígito,Unnamed: 4,Corrente (A),Incerteza de cal de Tensão,Incerteza de ltr de Tensão,Incerteza de Tensão,Incerteza de cal de Corrente,Incerteza de ltr de Corrente,Incerteza de Corrente,Resistencia (ohms)
59,2.0,0.0,-2.064,1.0000000000000001e-07,,0.0,-0.0035172178399032004,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
60,2.2,0.0,-2.286,1.0000000000000001e-07,,0.0,-0.0039017331191834913,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
61,2.4,0.0,-2.5,1.0000000000000001e-07,,0.0,-0.004272391992003231,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
62,2.6,0.0,-2.705,1.0000000000000001e-07,,0.0,-0.004627462407554852,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
63,2.8,0.0,-2.826,1.0000000000000001e-07,,0.0,-0.004837040555270686,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
64,3.0,0.0,-3.02,1.0000000000000001e-07,,0.0,-0.0051730584119390475,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
65,3.2,0.0,-3.273,1.0000000000000001e-07,,0.0,-0.005611267266253974,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
66,3.4,0.0,-3.407,1.0000000000000001e-07,,0.0,-0.005843362074468204,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
67,3.6,0.0,-3.689,1.0000000000000001e-07,,0.0,-0.0063318004022026265,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
68,3.8,0.0,-3.832,1.0000000000000001e-07,,0.0,-0.006579483667684976,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
69,4.0,0.0,-4.076,1.0000000000000001e-07,,0.0,-0.007002104064731782,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
70,4.2,0.0,-4.247,1.0000000000000001e-07,,0.0,-0.0072982847528260605,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
71,4.4,0.0,-4.489,1.0000000000000001e-07,,0.0,-0.007717441048257728,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
72,4.6,0.0,-4.672,1.0000000000000001e-07,,0.0,-0.008034406346042832,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
73,4.8,0.0,-4.863,1.0000000000000001e-07,,0.0,-0.00836522805028849,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
74,5.0,0.0,-5.042,1.0000000000000001e-07,,0.0,-0.008675265144843318,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
75,5.5,0.0,-5.499,1.0000000000000001e-07,,0.0,-0.009466812363902294,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
76,6.0,0.0,-6.07,1.0000000000000001e-07,,0.0,-0.010455813375024124,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
77,6.5,0.0,-6.51,1.0000000000000001e-07,,0.0,-0.011217915730354428,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
78,7.0,0.0,-6.99,1.0000000000000001e-07,,0.0,-0.012049300117987492,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
79,7.5,0.0,-7.56,1.0000000000000001e-07,,0.0,-0.01303656907830175,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
80,8.0,0.0,-7.93,1.0000000000000001e-07,,0.0,-0.013677427877102235,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
81,8.5,0.0,-8.47,1.0000000000000001e-07,,0.0,-0.014612735313189431,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
82,9.0,0.0,-8.96,1.0000000000000001e-07,,0.0,-0.015461440208898182,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
83,9.5,0.0,-9.45,1.0000000000000001e-07,,0.0,-0.01631014510460693,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
84,10.0,0.0,-9.89,1.0000000000000001e-07,,0.0,-0.017072247459937236,0.0002886751345948129,0.00040824829046386303,8.660254037844386e-08,2.8867513459481292e-08,4.082482904638631e-08,-inf
