,fonte (v),Corrente (miliA),Tensão (v),Menor dígito,Corrente (A),Incerteza de cal de Tensão,Incerteza de ltr de Tensão,Incerteza de Tensão,Incerteza de cal de Corrente,Incerteza de ltr de Corrente,Incerteza de Corrente,Resistencia (ohms)
25,5.3,16.83,1.763,1.0,168.29999999999998,0.0031113406006628933,0.0002886751345948129,0.00040824829046386303,0.5916685558655284,0.2886751345948129,0.4082482904638631,0.01047534165181224
26,5.5,17.44,1.829,1.0,174.4,0.0032256559539624394,0.0002886751345948129,0.00040824829046386303,0.6127995757178688,0.2886751345948129,0.4082482904638631,0.010487385321100917
27,5.9,18.64,1.953,1.0,186.4,0.0034404302541009807,0.0002886751345948129,0.00040824829046386303,0.6543687950995218,0.2886751345948129,0.4082482904638631,0.010477467811158799
28,6.1,19.18,2.015,1.0,191.8,0.003547817404170251,0.0002886751345948129,0.00040824829046386303,0.6730749438212658,0.2886751345948129,0.4082482904638631,0.010505735140771638
29,6.3,19.83,2.076,1.0,198.29999999999998,0.0036534725034319524,0.0002886751345948129,0.00040824829046386303,0.695591604319661,0.2886751345948129,0.4082482904638631,0.010468986384266264
30,6.5,20.45,2.154,1.0,204.5,0.0037885724664223244,0.0002886751345948129,0.00040824829046386303,0.7170690343335152,0.2886751345948129,0.4082482904638631,0.010533007334963325
31,6.7,21.03,2.182,1.0,210.3,0.003837069889034253,0.0002886751345948129,0.00040824829046386303,0.7371608237013142,0.2886751345948129,0.4082482904638631,0.010375653827864954
32,6.9,21.61,2.209,1.0,216.1,0.003883835260838613,0.0002886751345948129,0.00040824829046386303,0.7572526130691132,0.2886751345948129,0.4082482904638631,0.010222119389171681
33,7.1,22.26,2.299,1.0,222.60000000000002,0.004039719833519812,0.0002886751345948129,0.00040824829046386303,0.7797692735675086,0.2886751345948129,0.4082482904638631,0.010327942497753817
34,7.3,22.73,2.365,1.0,227.3,0.004154035186819358,0.0002886751345948129,0.00040824829046386303,0.7960505511586561,0.2886751345948129,0.4082482904638631,0.010404751429828421
35,7.5,23.2,2.43,1.0,232.0,0.004266618489311335,0.0002886751345948129,0.00040824829046386303,0.8123318287498035,0.2886751345948129,0.4082482904638631,0.010474137931034484
36,7.7,24.19,2.504,1.0,241.9,0.004394790249071432,0.0002886751345948129,0.00040824829046386303,0.8466264347396673,0.2886751345948129,0.4082482904638631,0.010351384869780902
37,7.9,24.67,2.684,1.0,246.70000000000002,0.004706559394433829,0.0002886751345948129,0.00040824829046386303,0.8632541224923286,0.2886751345948129,0.4082482904638631,0.010879610863396838
38,8.1,25.48,2.629,1.0,254.8,0.004611296600017541,0.0002886751345948129,0.00040824829046386303,0.8913133455749443,0.2886751345948129,0.4082482904638631,0.010317896389324961
39,8.3,26.28,2.712,1.0,262.8,0.004755056817045758,0.0002886751345948129,0.00040824829046386303,0.9190261584960464,0.2886751345948129,0.4082482904638631,0.010319634703196348
40,8.5,26.99,2.828,1.0,269.9,0.004955974710723747,0.0002886751345948129,0.00040824829046386303,0.9436212799635243,0.2886751345948129,0.4082482904638631,0.01047795479807336
41,8.7,27.4,2.861,1.0,274.0,0.00501313238737352,0.0002886751345948129,0.00040824829046386303,0.9578240965855892,0.2886751345948129,0.4082482904638631,0.010441605839416059
42,8.9,27.8,2.893,1.0,278.0,0.0050685580132157244,0.0002886751345948129,0.00040824829046386303,0.9716805030461401,0.2886751345948129,0.4082482904638631,0.010406474820143884
43,9.1,28.59,3.035,1.0,285.9,0.005314509227890505,0.0002886751345948129,0.00040824829046386303,0.9990469058057283,0.2886751345948129,0.4082482904638631,0.010615599860090943
44,9.3,28.4,2.973,1.0,284.0,0.0052071220778212345,0.0002886751345948129,0.00040824829046386303,0.9924651127369667,0.2886751345948129,0.4082482904638631,0.01046830985915493
45,9.5,30.15,3.142,1.0,301.5,0.005499838664300375,0.0002886751345948129,0.00040824829046386303,1.0530868910018774,0.2886751345948129,0.4082482904638631,0.0104212271973466
46,9.7,30.43,3.177,1.0,304.3,0.005560460442565285,0.0002886751345948129,0.00040824829046386303,1.0627863755242632,0.2886751345948129,0.4082482904638631,0.010440354912914887
47,9.9,30.76,3.222,1.0,307.6,0.005638402728905886,0.0002886751345948129,0.00040824829046386303,1.0742179108542178,0.2886751345948129,0.4082482904638631,0.010474642392717814
48,0.3,-1.19,-0.124,1.0,-11.899999999999999,-0.0001570392732195782,0.0002886751345948129,0.00040824829046386303,-0.017176083905850986,0.2886751345948129,0.4082482904638631,0.010420168067226891
49,0.5,-1.77,-0.188,1.0,-17.7,-0.0002678905249039864,0.0002886751345948129,0.00040824829046386303,-0.025547662809100563,0.2886751345948129,0.4082482904638631,0.010621468926553673
50,0.7,-2.47,-0.303,1.0,-24.700000000000003,-0.00046707636777440725,0.0002886751345948129,0.00040824829046386303,-0.03565129251991902,0.2886751345948129,0.4082482904638631,0.012267206477732792
51,0.9,-3.16,-0.418,1.0,-31.6,-0.0006662622106448281,0.0002886751345948129,0.00040824829046386303,-0.045610584663440056,0.2886751345948129,0.4082482904638631,0.013227848101265823
52,1.1,-3.5,-0.277,1.0,-35.0,-0.0004220430467776165,0.0002886751345948129,0.00040824829046386303,-0.05051806195155188,0.2886751345948129,0.4082482904638631,0.007914285714285716
